building_name,address,square_feet,building_age,building_type,energy_consumption_kbtu
RAINIER VALLEY LEADERSHIP ACADEMY,6020 RAINIER AVE S,41720,8,School,808657.0
1210 REPUBLICAN EFFICIENCIES,1210 REPUBLICAN ST,25000,9,Other,510988.0
REDWOOD,111 21ST AVE E,31600,8,Other,957595.0
METRO LINE FLATS,915 E SPRUCE ST,52724,7,Other,996439.0
BURKE AND UNION APARTMENT,4516 UNION BAY PL NE,84996,8,Other,1664512.0
LIV FAUNTLEROY,4801 FAUNTLEROY WAY SW,28910,8,Other,1113518.0
SHEA APTS BUILDING 2,1830 E MERCER ST,31361,7,Other,1821706.0
THE PERRY- FIRST HILL TOWER,1001 MINOR AVE,235046,8,Other,4203804.0
HANA APTS,101 6TH AVE S,154250,8,Other,1106447.0
ELAN UPTOWN FLATS - WEST,300 1ST AVE W,185048,8,Other,2534189.0
WALLINGFORD MIXED USE BLDG (BEDROOMS & MORE),324 NE 45TH ST,24158,8,Retail,322445.0
AJ APARTMENTS,4505 42ND AVE SW,49031,8,Other,1167171.0
SORENTO FLATS,1414 E YESLER WAY,44016,8,Other,2072804.0
LILLEHAMMER,7016 15TH AVE NW,81631,8,Other,2200509.0
SEDONA 215,8500 20TH AVE NE,108784,7,Other,2535960.0
TONY LEE APTS (LIHI FIRE STATION 39 PROJECT),2820 NE 127TH ST,63985,8,Other,1361993.0
750 ON THE HILL CONDOMINIUM,750 11TH AVE E,21583,8,Other,765205.0
VISTA,7011 ROOSEVELT WAY NE,31016,7,Other,976793.0
COMPASS BROADVIEW APTS,147 N 132ND ST,58592,7,Other,2261825.0
BROOKLYN 65 (SEDU APTS),1222 NE 65TH ST,26255,7,Other,1007228.0
CLEMENT PLACE,937 N 96TH ST,58140,7,Other,2792118.0
LUNA APTS,6921 ROOSEVELT WAY NE,31165,8,Other,1078820.0
VALLEY APTS,1141 M L KING JR WAY,60363,7,Other,1705282.0
RISE ON 67TH APARTMENTS,829 NE 67TH ST,54721,7,Other,2444360.0
SONATA AT COLUMBIA STATION,3000 S ALASKA ST,90759,7,Other,1897231.0
LANE APARTMENTS - EAST,10715 8TH AVE NE,63269,7,Other,1784904.0
TRACK 66 APARTMENTS,836 NE 66TH ST,35371,7,Other,987079.0
EDISON CONDOMINIUMS,121 12TH AVE E,34960,7,Other,847208.0
MUIR APTS,718 RAINIER AVE S,139651,7,Other,3392798.0
MAPLE LEAF FLATS,442 NE MAPLE LEAF PL,31057,7,Other,915528.0
VERTEX APARTMENTS,802 E THOMAS ST,60591,8,Other,1561602.0
MICHAELS RETAIL STORE,1700 W ARMORY WAY,24930,8,Retail,583079.0
SEATTLE UNIVERSITY STUDENT HOUSING- VI HILBERT HALL,1107 E MADISON ST,143513,8,Other,3819907.0
LANE APARTMENTS- WEST BUILDING,10720 5TH AVE NE,158544,7,Other,2730088.0
REPUBLIC OF KOREA CONSULATE,115 W MERCER ST,33290,7,Office,526590.0
JET ON BOYLSTON FLATS,1820 BOYLSTON AVE,42090,7,Other,1582804.0
ANCHOR FLATS APTS,1511 DEXTER AVE N,62929,7,Other,1496971.0
GEORGETOWN CROSSROADS-PROLOGIS,6050 EAST MARGINAL WAY S,733533,8,Other,16442047.0
WATERTON APTS,2201 EASTLAKE AVE E,53722,8,Other,1395777.0
WEST EDGE TOWER,1430 2ND AVE,567403,10,Other,15855001.0
F5 Tower,801 5TH AVE,905655,8,Office,42946084.0
CASCADIA ELEMENTRY SCHOOL (SPS-DISTRICT),1700 N 90TH ST,97381,8,School,2449409.0
THE HENDON,6800 GREENWOOD AVE N,52435,8,Other,669130.0
THE ELARA,2134 WESTERN AVE,180605,8,Other,5298864.0
624 YALE APARTMENTS,624 YALE AVE N,255649,8,Other,6549238.0
CHROMA APTS SLU- BLD 2,1232 HARRISON ST,92147,8,Other,3059773.0
